,timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2018-01-09 18:00:00,,14949.98,14990.0,14650.0,14717.82,691.499115,1515527999999.0,10240363.90823303,8673.0,386.618455,5723215.72920859,0.0
2018-01-09 20:00:00,,14717.82,14861.56,14420.0,14462.81,818.837181,1515535199999.0,12006823.61249228,10331.0,335.65754,4921400.57706899,0.0
2018-01-09 22:00:00,,14452.0,14536.36,14125.0,14400.0,1514.92189,1515542399999.0,21681294.16396538,17818.0,645.811263,9249207.83167428,0.0
2018-01-10 00:00:00,,14401.0,14480.0,13750.0,14121.58,1799.636663,1515549599999.0,25293007.64227867,17160.0,861.613639,12113604.45783464,0.0
2018-01-10 02:00:00,,14120.0,14300.01,13950.0,13964.05,1023.618512,1515556799999.0,14523235.18500613,10705.0,456.356983,6478158.77154408,0.0
2018-01-10 04:00:00,,13980.0,14323.0,13866.66,14136.72,1489.889004,1515563999999.0,20981864.23840009,16871.0,686.70969,9669224.11598585,0.0
2018-01-10 06:00:00,,14136.77,14349.99,13855.0,13979.0,1246.628883,1515571199999.0,17625821.04681847,12308.0,584.103949,8253563.43927061,0.0
2018-01-10 08:00:00,,13978.95,13979.0,13131.31,13754.38,3262.365085,1515578399999.0,44189355.42618454,25295.0,1538.097962,20855287.92663564,0.0
2018-01-10 10:00:00,,13750.6,14128.3,13485.09,13919.08,1658.656704,1515585599999.0,22871457.74875112,13233.0,850.381438,11727473.62302759,0.0
2018-01-10 12:00:00,,13919.09,14100.0,13639.06,13861.94,1192.883239,1515592799999.0,16542147.87862819,11019.0,605.06114,8386667.56588295,0.0
2018-01-10 14:00:00,,13813.1,14490.0,13500.0,14399.95,2028.166418,1515599999999.0,28247184.01634019,16523.0,1115.483777,15538495.69160314,0.0
2018-01-10 16:00:00,,14399.95,14698.12,14270.97,14567.51,1441.368862,1515607199999.0,20859108.25076162,13842.0,662.29308,9586789.05870331,0.0
2018-01-10 18:00:00,,14550.0,14735.43,14172.95,14349.98,796.803857,1515614399999.0,11538403.99246567,8276.0,401.530853,5816577.01310213,0.0
2018-01-10 20:00:00,,14349.98,14589.99,14240.0,14515.0,610.664214,1515621599999.0,8822488.14373051,6589.0,328.22238,4742220.16638992,0.0
2018-01-10 22:00:00,,14500.0,14955.66,14251.0,14907.09,860.320214,1515628799999.0,12517293.19366279,9655.0,439.699784,6402077.97647363,0.0
2018-01-11 00:00:00,,14940.0,14968.68,14295.0,14427.87,1111.939525,1515635999999.0,16247547.32860283,9771.0,518.26365,7569626.34984509,0.0
2018-01-11 02:00:00,,14377.94,14505.02,12613.0,12920.0,3868.468072,1515643199999.0,52008834.5692298,24932.0,1730.614996,23313090.11653755,0.0
2018-01-11 04:00:00,,12911.92,13613.81,11400.0,12868.84,9608.950156,1515650399999.0,122440814.08874755,51354.0,4829.526369,61819798.19689847,0.0
2018-01-11 06:00:00,,12868.84,13631.98,12780.03,13530.42,3259.475686,1515657599999.0,43433127.32945661,18772.0,1667.805992,22247830.39915521,0.0
2018-01-11 08:00:00,,13530.42,13896.7,13300.0,13425.24,1805.254508,1515664799999.0,24664573.94380131,15258.0,873.765288,11934865.95359268,0.0
2018-01-11 10:00:00,,13425.25,13569.64,13041.0,13385.1,1874.977263,1515671999999.0,24950004.97527334,15678.0,923.56288,12284730.57595992,0.0
2018-01-11 12:00:00,,13385.1,13942.45,13282.13,13754.95,2040.276158,1515679199999.0,27969058.41220884,17751.0,1051.375368,14413159.76846207,0.0
2018-01-11 14:00:00,,13754.95,14400.0,13680.83,13958.08,2401.217304,1515686399999.0,33664049.96807665,21846.0,1145.740358,16054069.51433257,0.0
2018-01-11 16:00:00,,13950.05,14190.0,13609.19,13650.01,1440.475253,1515693599999.0,20037258.23497698,14072.0,696.487814,9693836.13287291,0.0
2018-01-11 18:00:00,,13650.01,13849.99,13205.58,13430.16,1349.053607,1515700799999.0,18362409.68915268,12209.0,680.977715,9269966.1062591,0.0
2018-01-11 20:00:00,,13400.0,13655.92,13008.0,13379.51,1768.267471,1515707999999.0,23479507.8498286,18064.0,767.016569,10195470.530906,0.0
2018-01-11 22:00:00,,13379.51,13459.0,12511.0,13238.78,3026.368748,1515715199999.0,39330408.30438271,19709.0,1536.882981,19965793.73428835,0.0
2018-01-12 00:00:00,,13238.76,13500.0,12500.0,13392.56,2437.330647,1515722399999.0,31641210.62019632,15291.0,1212.054752,15749103.26961996,0.0
2018-01-12 02:00:00,,13392.56,13855.0,13228.01,13850.0,1734.372832,1515729599999.0,23484392.35186528,13464.0,842.832271,11411610.63363373,0.0
2018-01-12 04:00:00,,13854.95,13880.0,13354.1,13550.0,1389.524445,1515736799999.0,18923300.78895148,12306.0,674.824245,9188408.30168542,0.0
2018-01-12 06:00:00,,13550.0,13966.63,13517.78,13722.04,1489.943791,1515743999999.0,20557337.28806045,13863.0,622.850938,8589429.90042457,0.0
2018-01-12 08:00:00,,13722.04,13770.0,13301.99,13476.03,1108.006136,1515751199999.0,15016594.16640819,9110.0,562.384133,7623713.50732485,0.0
2018-01-12 10:00:00,,13496.99,14109.78,13476.03,13900.02,1324.967679,1515758399999.0,18423312.63029572,11224.0,735.649679,10226453.98420831,0.0
2018-01-12 12:00:00,,13900.02,14059.48,13738.56,13811.74,1067.270106,1515765599999.0,14850334.10413371,10692.0,507.624384,7062820.52090873,0.0
2018-01-12 14:00:00,,13811.74,13872.99,13358.99,13411.79,1574.423534,1515772799999.0,21489168.74962106,13518.0,823.105863,11249160.11688965,0.0
2018-01-12 16:00:00,,13411.79,13600.0,13222.0,13520.01,1894.732935,1515779999999.0,25407166.48217733,13234.0,959.376902,12860510.57171335,0.0
2018-01-12 18:00:00,,13520.06,13801.01,13350.0,13717.0,941.120142,1515787199999.0,12738273.27963323,8132.0,463.034844,6273366.11265464,0.0
2018-01-12 20:00:00,,13717.0,13900.0,13625.08,13700.81,708.862558,1515794399999.0,9769602.91092405,6668.0,384.211994,5296961.14178384,0.0
2018-01-12 22:00:00,,13714.99,13780.05,13510.0,13740.01,746.607332,1515801599999.0,10215382.89919225,6950.0,329.36207,4508482.12063095,0.0
2018-01-13 00:00:00,,13749.95,14250.0,13706.15,14170.38,1691.623472,1515808799999.0,23739099.78771393,12572.0,825.347552,11580264.70628966,0.0
2018-01-13 02:00:00,,14184.97,14189.01,13820.0,14066.0,1241.627265,1515815999999.0,17407896.31427075,11174.0,512.994557,7178845.38843787,0.0
2018-01-13 04:00:00,,14065.99,14194.75,13948.42,14130.0,1046.939292,1515823199999.0,14734742.09418478,9824.0,437.183169,6152356.20748158,0.0
